n_factors,n_hidden_2,val_loss,val_acc,train_loss_hist,val_loss_hist,train_acc_hist,val_acc_hist
1000,[200],0.5178969794484987,0.7229385256767273,"[0.6246419275539747, 0.5291123186451742, 0.4653308613189514, 0.41604584607406, 0.37721833041582864]","[0.5769455803298521, 0.5445491814541853, 0.5280813609195435, 0.5294686016561031, 0.5325918979105028]","[0.64805096, 0.7316342, 0.7803598, 0.8103448, 0.8343328]","[0.68665665, 0.70014995, 0.7196402, 0.7136432, 0.71664166]"
1000,[100],0.5185136064954069,0.7205397248268127,"[0.6405315858492072, 0.5581873994895901, 0.5018331954504239, 0.45887774456923514, 0.4231567506132455]","[0.5934046929565326, 0.560042901464488, 0.5397011410260665, 0.5319457813717615, 0.5292540903034239]","[0.63830584, 0.7143928, 0.75749624, 0.7886057, 0.8103448]","[0.6716642, 0.69265366, 0.71214396, 0.7181409, 0.7136432]"
1000,[500],0.5277534645804758,0.7190404653549194,"[0.6073487042665839, 0.48714225143864415, 0.41407917169616676, 0.35770590319626333, 0.30642664588909635]","[0.5611519910048867, 0.5317387193486072, 0.5256070504481646, 0.537688016444668, 0.5473020461009539]","[0.6570465, 0.7657421, 0.8125937, 0.84182906, 0.88568217]","[0.70014995, 0.7136432, 0.7151424, 0.72263867, 0.7181409]"
200,[500],0.5295544998756592,0.717241370677948,"[0.6201389123653543, 0.5404033876251781, 0.5001749486580067, 0.4740739286928877, 0.4531650169678535]","[0.5722666977495625, 0.5533899167577724, 0.5464429922368395, 0.5545725727724707, 0.5582832379945215]","[0.6469265, 0.72113943, 0.7518741, 0.7646177, 0.78523237]","[0.6671664, 0.6911544, 0.68815595, 0.68665665, 0.68665665]"
200,[200],0.5305459130471615,0.7208395838737488,"[0.6377198981202167, 0.5715585295585678, 0.5304065126886611, 0.5017094431609764, 0.48143441977350787]","[0.5923200259501787, 0.5654004532983457, 0.5532060481350998, 0.550279754972172, 0.5511912086467514]","[0.63230884, 0.6964018, 0.732009, 0.75112444, 0.76274365]","[0.66416794, 0.6911544, 0.6911544, 0.6911544, 0.68815595]"
200,[100],0.5391941636487998,0.7148425817489624,"[0.6589201444807439, 0.5960746897214177, 0.5620339944444853, 0.5356183578406853, 0.5124044278036172]","[0.6159420098321906, 0.581209378085215, 0.5640548752701801, 0.5549345863187152, 0.5499723944617533]","[0.6086956, 0.6810345, 0.7110195, 0.7338831, 0.74512744]","[0.66866565, 0.67616194, 0.69415295, 0.6971514, 0.6971514]"
