dropout_2,val_loss,val_acc,train_loss_hist,val_loss_hist,train_acc_hist,val_acc_hist
0.0,0.5109558739762257,0.7313343167304993,"[0.6188658003149361, 0.5181581084874796, 0.45260329421671075]","[0.5718444600544949, 0.5360266513552802, 0.5220275623598198]","[0.6570465, 0.7466267, 0.78673166]","[0.6911544, 0.7151424, 0.71064466]"
0.05,0.5114284687224535,0.730434775352478,"[0.6196964333976048, 0.5198492960057695, 0.4552513660340831]","[0.5725374653421599, 0.5368357495568146, 0.5224983944617647]","[0.6547976, 0.7413793, 0.78785604]","[0.6896552, 0.7136432, 0.7091454]"
0.1,0.5118790447265134,0.7304347872734069,"[0.6201742698048902, 0.5223669298049034, 0.45808953766165106]","[0.5732109082424302, 0.5374421812426383, 0.5224261934878766]","[0.6555472, 0.73950523, 0.7826087]","[0.6896552, 0.7136432, 0.71214396]"
