activation,val_loss,val_acc,train_loss_hist,val_loss_hist,train_acc_hist,val_acc_hist
relu,0.5937706938632117,0.6669027209281921,"[0.6656087191512425, 0.5915942607489034, 0.5367712601957786, 0.4843537234551251]","[0.6259539853658108, 0.5912225716161412, 0.5811526589835716, 0.5788758740519846]","[0.6003303, 0.6961189, 0.7580512, 0.80099094]","[0.6655629, 0.66887414, 0.69205296, 0.6721854]"
tanh,0.6065525880475446,0.663582730293274,"[0.6497946347115356, 0.566171201716564, 0.5153902114471259, 0.47506794803502833]","[0.597714585973727, 0.5843350579407042, 0.5966065423378092, 0.6086430435149085]","[0.6209744, 0.6961189, 0.75309664, 0.78612715]","[0.678808, 0.6821192, 0.6655629, 0.6655629]"
,0.6068088753274018,0.663582730293274,"[0.6496168717582004, 0.5657529355965795, 0.5149621781389345, 0.4747235307902172]","[0.5974778379036101, 0.5843318641580493, 0.5967253545262167, 0.6088444223467088]","[0.6209744, 0.6961189, 0.75309664, 0.78612715]","[0.678808, 0.6821192, 0.6655629, 0.6655629]"
softplus,0.6071627328214136,0.6609402656555176,"[0.6706061245093751, 0.6126607524570997, 0.5802040983092972, 0.5564236276214719]","[0.6316482973414541, 0.6109273777102793, 0.596341017460981, 0.5898197032757942]","[0.5681255, 0.6407927, 0.6911643, 0.72914946]","[0.59933776, 0.6721854, 0.6754967, 0.6655629]"
selu,0.6138443622599951,0.6582956433296203,"[0.6456433422402051, 0.5483731880451804, 0.4919104943533361, 0.44808267872752877]","[0.5912322382263789, 0.5852675994500419, 0.6032058521611801, 0.6195901024420529]","[0.6193229, 0.7126342, 0.7803468, 0.8100743]","[0.6821192, 0.678808, 0.66225165, 0.66225165]"
