activation,val_loss,val_acc,train_loss_hist,val_loss_hist,train_acc_hist,val_acc_hist
relu,0.6336955948201455,0.6318645715713501,"[0.6801554609880676, 0.6538513908201166, 0.6388528775223812, 0.6298610193979435, 0.624599905913768]","[0.6566360577052792, 0.6283979159317269, 0.6148018706713291, 0.6096510468729285, 0.6079954453651478]","[0.5862923, 0.6284063, 0.6275805, 0.63170934, 0.63831544]","[0.6456954, 0.6456954, 0.6490066, 0.6589404, 0.66887414]"
softplus,0.6429938823981949,0.6140187501907348,"[0.6955813658719807, 0.6893263023614293, 0.6829287109052121, 0.6772487652291944, 0.677556478317664]","[0.6259774411750945, 0.6116850131394848, 0.6099428948977136, 0.6087838865273836, 0.6109861435479675]","[0.57060283, 0.6003303, 0.5763832, 0.59454995, 0.5821635]","[0.6258278, 0.6456954, 0.63245034, 0.62913907, 0.6357616]"
selu,0.6440893292531282,0.6192970991134643,"[0.6618047464888122, 0.6471151272980857, 0.6431331093108527, 0.6393593248013718, 0.635371197116562]","[0.6111393938001418, 0.6080426056653458, 0.6121986500474791, 0.6100271723128312, 0.6117371707562579]","[0.59702724, 0.6028076, 0.61023945, 0.61601985, 0.6151941]","[0.65562916, 0.65562916, 0.63907284, 0.6490066, 0.6490066]"
tanh,0.6468563482675037,0.6093807935714721,"[0.6654551675947711, 0.6516351148572271, 0.6489605325790204, 0.6443187178510167, 0.6422969342065586]","[0.6179186445198311, 0.6120473576697293, 0.6156608099179552, 0.6147478080743196, 0.6160398476960643]","[0.59042114, 0.60115606, 0.6094137, 0.60611063, 0.6151941]","[0.63245034, 0.63907284, 0.6225166, 0.6258278, 0.6225166]"
,0.6472861484754537,0.6040915250778198,"[0.6660229865427749, 0.6518491561702221, 0.6495174195134472, 0.6445120440151552, 0.64073701888249]","[0.6182262340918282, 0.6122737799259211, 0.6164951979719251, 0.6151464672278095, 0.6167821114426417]","[0.5953757, 0.61023945, 0.6069364, 0.6094137, 0.61271673]","[0.6258278, 0.6225166, 0.6258278, 0.6225166, 0.6092715]"
