dropout_2,val_loss,val_acc,train_loss_hist,val_loss_hist,train_acc_hist,val_acc_hist
0.0,0.5937706938632117,0.6669027209281921,"[0.6656087191512425, 0.5915942607489034, 0.5367712601957786, 0.4843537234551251]","[0.6259539853658108, 0.5912225716161412, 0.5811526589835716, 0.5788758740519846]","[0.6003303, 0.6961189, 0.7580512, 0.80099094]","[0.6655629, 0.66887414, 0.69205296, 0.6721854]"
0.05,0.5941276524138993,0.6662426471710206,"[0.6657016839890515, 0.592471919849232, 0.5385033693026158, 0.4878424906612525]","[0.6269177482617612, 0.5921741277966278, 0.5813926095204638, 0.5787673205729352]","[0.5887696, 0.6961189, 0.7555739, 0.80759704]","[0.66887414, 0.6721854, 0.69205296, 0.66887414]"
0.1,0.5943390464424719,0.6662404656410217,"[0.6661896509242196, 0.5937153425322989, 0.5414278436356788, 0.49118762666976323]","[0.6280238296811944, 0.5930081830908921, 0.5817644110578575, 0.5783776861942367]","[0.5928984, 0.6952931, 0.7539224, 0.80264246]","[0.66887414, 0.6721854, 0.69205296, 0.6655629]"
0.15,0.5946098970483098,0.6662404537200928,"[0.6668613005727899, 0.5958881354548535, 0.5449689007021985, 0.4962842959593782]","[0.6294288840514934, 0.5943749941737446, 0.5823054838654221, 0.5784074928586846]","[0.5862923, 0.6919901, 0.748142, 0.8034682]","[0.6754967, 0.66887414, 0.68874174, 0.66225165]"
0.2,0.594908971180252,0.6669027090072632,"[0.667606014736815, 0.597347192041742, 0.5484074743989082, 0.500176542017895]","[0.6306698689397597, 0.595657706655414, 0.5829608570660977, 0.5784180274862327]","[0.5821635, 0.688687, 0.7431874, 0.7919075]","[0.6655629, 0.66887414, 0.70198673, 0.6655629]"
0.25,0.5952175777456062,0.6655825853347779,"[0.6676092710404431, 0.5990466689590971, 0.5515473891544893, 0.5045289188057406]","[0.6318703668796464, 0.5971380286658836, 0.5838790251719241, 0.5782395261802421]","[0.58133775, 0.685384, 0.74236166, 0.7869529]","[0.66225165, 0.66887414, 0.6986755, 0.6655629]"
0.3,0.5957004637021803,0.6649246931076049,"[0.6682220744161346, 0.6011239332566076, 0.5547286940447856, 0.5092808888236123]","[0.6332753561190422, 0.598728890450585, 0.5847596644565759, 0.5783412247304095]","[0.58381504, 0.685384, 0.7349298, 0.78612715]","[0.6523179, 0.6721854, 0.6986755, 0.66887414]"
